name,ra,dec,redshift,mag_r,flag,N_g,N_r,N_i,N_z
J002639.87-432307.70,6.66612,-43.3855,1.142,19.083,QQ,61,67,85,174
J002641.26-424900.30,6.67192,-42.8167,0.882,19.816,QQ,111,120,116,231
J002653.39-430438.63,6.72245,-43.0774,0.3,19.7704,q,103,81,63,120
J002702.17-431756.00,6.75904,-43.2989,0.903,19.847,QQ,118,125,124,236
J002710.80-423726.11,6.795,-42.6239,0.984,21.741,QQ,99,110,113,231
J002716.58-424427.99,6.8191,-42.7411,1.9,20.0122,q,111,119,119,236
J002729.28-431501.00,6.872,-43.2503,1.863,19.456,QQ,118,123,120,233
J002735.03-430043.81,6.89596,-43.0122,1.855,19.245,QQ,12,9,11,14
J002736.13-424924.21,6.90054,-42.8234,2.879,20.023,QQ,112,118,117,232
J002743.35-425258.80,6.93062,-42.883,1.252,19.796,QQ,111,116,119,238
J002750.98-422427.72,6.96242,-42.4077,1.49,21.558,QQ,108,92,106,228
J002801.18-433103.05,7.00492,-43.5175,0.6,19.2613,q,117,120,116,233
J002802.05-433342.20,7.00854,-43.5617,1.024,21.687,QQ,114,113,25,71
J002802.42-424913.51,7.01008,-42.8204,0.127,17.6191,Q,108,115,114,220
J002811.11-423423.08,7.04629,-42.5731,1.652,21.456,QQ,105,101,102,193
J002826.18-433829.11,7.10908,-43.6414,1.061,20.495,QQ,114,121,120,233
J002831.10-421538.08,7.12958,-42.2606,0.871,18.51,QQ,114,121,125,239
J002831.92-422632.21,7.133,-42.4423,2.003,20.11,QQ,104,76,51,131
J002848.72-434532.08,7.203,-43.7589,2.248,19.806,QQ,117,125,121,239
J002848.82-431208.63,7.20343,-43.2024,0.5,19.3841,q,114,121,118,238
J002855.47-434210.08,7.23112,-43.7028,1.329,20.076,QQ,105,121,113,229
J002857.80-424644.00,7.24083,-42.7789,1.374,18.438,QQ,108,43,34,45
J002859.58-423239.48,7.24825,-42.5443,1.776,19.216,QQ,115,122,122,239
J002903.25-420657.18,7.26354,-42.1159,1.7,18.823,q,110,114,121,237
J002904.43-425242.99,7.26846,-42.8786,0.644,19.377,QQ,113,125,121,239
J002906.71-423904.50,7.27796,-42.6512,0.702,18.506,QQ,114,112,59,184
J002907.77-420916.42,7.28237,-42.1546,2.249,20.413,QQ,70,80,93,182
J002913.21-433044.60,7.30504,-43.5124,2.18,19.766,QQ,112,104,93,130
J002917.61-433759.88,7.32338,-43.6333,0.951,18.555,QQ,117,126,123,240
J002920.73-420425.10,7.33638,-42.0736,1.749,19.368,QQ,115,122,124,242
J002925.80-434919.41,7.3575,-43.8221,3.078,18.735,QQ,7,6,6,10
J002926.44-420752.32,7.36017,-42.1312,3.403,19.515,QQ,113,120,122,229
J002926.51-431250.51,7.36046,-43.214,0.945,18.902,QQ,115,125,124,238
J002927.70-431614.49,7.36542,-43.2707,0.593,21.054,QQ,107,120,120,235
J002930.76-432724.30,7.37817,-43.4567,0.914,18.136,QQ,113,120,119,237
J002933.85-435240.70,7.39104,-43.878,0.996,17.697,QQ,108,114,111,222
J002939.03-431253.71,7.41262,-43.2149,1.576,20.555,QQ,113,120,119,235
J002940.83-424308.12,7.42013,-42.7189,1.471,19.667,QQ,115,123,122,235
J002949.39-434806.70,7.45579,-43.8019,1.09,19.281,QQ,105,113,111,209
J002950.78-423801.21,7.46158,-42.6337,1.613,20.437,QQ,25,43,49,108
J002951.05-433629.30,7.46271,-43.6081,0.89,20.47,QQ,116,123,122,239
J002951.11-432355.38,7.46296,-43.3987,1.949,20.7337,Q,110,119,117,213
J002959.21-434835.21,7.49671,-43.8098,2.037,17.534,QQ,114,113,97,182
J003006.53-435107.92,7.52721,-43.8522,1.553,20.05,QQ,117,122,120,236
J003009.35-424134.69,7.53896,-42.693,1.186,20.482,QQ,111,122,119,215
J003010.25-423356.19,7.54271,-42.5656,0.666,20.06,QQ,112,122,122,240
J003013.70-425733.40,7.55708,-42.9593,0.654,20.151,QQ,114,124,121,240
J003015.00-430333.52,7.5625,-43.0593,1.649,19.592,QQ,114,124,123,239
